brand,product,link,product_description,image_link
KALINI,Floral Printed Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-v-neck-straight-kurta--trousers-with-dupatta/24684156/buy,"Floral printed | Straight shape | Regular style | V-neck, three-quarter regular sleeves | 2 pockets | Calf length with straight hem | Cotton blend machine weave fabric | Solid trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24684156/2023/8/28/f88842df-ea1a-4dc6-b655-c0cbcb41c5f21693196079238KALINIFloralPrintedV-NeckRegularMirrorWorkKurtaWithTrousersD1.jpg"
KALINI,Printed Kurta With Palazzos,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-thread-work-regular-straight-kurta-with-palazzos/27406590/buy,"Floral printed | Straight shape | Regular style | V-neck, three-quarter regular sleeves | Calf length with straight hem | Cotton blend machine weave fabric | Solid Palazzos | 1 Pocket | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27406590/2024/2/6/5904c221-d661-47e3-aacf-447b4f4cbd091707232494335KALINIWomenFloralPrintedRegularKurtawithPalazzos1.jpg"
KALINI,Women Yoke Design Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-women-beige-floral-yoke-design-straight-kurta-with-trousers--with-dupatta/18652620/buy,"Floral yoke design | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Calf length with straight hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18652620/2022/8/26/4d5f7043-a460-42e5-b67a-b04d9c0bc7041661503606623-KALINI-Women-Beige-Floral-Yoke-Design-Kurta-with-Trousers--W-1.jpg"
Libas,Kurta with Sharara & Dupatta,https://www.myntra.com/kurta-sets/libas/libas-floral-embroidered-sequinned-zari-kurta-with-sharara--dupatta/22290378/buy,"Floral embroidered | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Sequinned detail | Calf length with scalloped hem | Silk blend machine weave fabric | Solid Sharara | Partially elasticated waistband | Slip-on closure | 2 pocket | Solid | Tasselled border","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22290378/2023/8/28/a6f5d973-6e40-45dc-800f-965caf74bd651693222646260LibasFloralEmbroideredSequinnedZariKurtawithShararaDupatta1.jpg"
anayna,Women Ethnic Motifs Printed Kurta,https://www.myntra.com/kurtas/anayna/anayna-ethnic-motifs-printed-kurta/22143838/buy,"Colour: pink | Ethnic motifs printed | V-neck | Three-quarter, regular sleeves | Straight shape with regular style | Calf length with straight hem | Machine weave regular cotton","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22143838/2023/10/4/fc5eab91-6911-4dff-aac3-bd8771cf03371696411495676-anayna-Ethnic-Motifs-Printed-Kurta-9951696411495609-6.jpg"
KALINI,Kurta With Trousers & Dupatta,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-kurta-with-trousers--dupatta/25198726/buy,"Floral printed | Anarkali shape | Regular style | Round neck, sleeveless no sleeves | 1 pockets | Calf length length with straight hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25198726/2023/9/27/1f93382a-6e40-412e-ab0d-64661b2b3b2d1695819230806KALINIWomenBlueFloralPrintedRegularKurtawithTrousersWithDupa1.jpg"
KALINI,Kurta with Trousers & Dupatta,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-straight-kurta-with-trousers--dupatta/23382332/buy,"Floral printed | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Calf length with straight hem | Cotton blend machine weave fabric | Solid trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23382332/2023/5/24/253be641-ebda-49fc-86b9-c5c4c081bc6c1684920813550KALINIWomenPeachStraightFloralPrintedKurtawithTrouserDupatta7.jpg"
Anouk,Embroidered Kurta Set,https://www.myntra.com/kurta-sets/anouk/anouk-ethnic-motifs-embroidered-kurta-with-trousers--dupatta/24997930/buy,"Ethnic motifs embroidered | Straight shape | Regular style | Boat neck, three-quarter regular sleeves | Calf length with straight hem | Silk blend machine weave fabric | Solid Trousers | Partially elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24997930/2023/9/25/e01fd713-4cb3-4d06-931b-eb09c3474be11695624775025-Anouk-Women-Kurta-Sets-4701695624774460-1.jpg"
SINGNI,Printed Kurta Set,https://www.myntra.com/kurta-sets/singni/singni-floral-printed-mirror-work-anarkali-kurta--trousers-with-dupatta/25864048/buy,"Floral printed | Anarkali shape | Regular style | Round neck, three-quarter regular sleeves | Mirror work detail | Calf length with flared hem | Viscose rayon machine weave fabric | Printed trousers | Elasticated waistband | Slip on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25864048/2023/11/11/7534c30f-0def-4fb1-a7cc-190d65618bc71699694507161SINGNIWomenPinkEthnicMotifsEmbroideredRegularKurtawithTrouse1.jpg"
KALINI,Printed Kurta with Trousers,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-notch-neck-regular-anarkali-kurta-with-trousers/29362672/buy,"Floral printed | Anarkali shape | Regular style | V-neck, three-quarter regular sleeves | Na pockets | Calf length length with flared hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29362672/2024/5/6/6903d254-6d6f-4940-a12f-b9cc4a2dbacd1714993330189KALINIWomenFloralPrintedRegularKurtawithTrousers1.jpg"
